algorithm,vector_size,elapsed_time
CPU,		1024,	7.58274
CPU,		1024,	1.49641
CPU,		1024,	1.57574
CPU,		1024,	1.52283
CPU,		1024,	1.8392
GPU,		1024,	1.69962
GPU,		1024,	1.84045
GPU,		1024,	1.76966
GPU,		1024,	2.67702
GPU,		1024,	1.71878
GPU-shared,		1024,	2.05965
GPU-shared,		1024,	2.12141
GPU-shared,		1024,	2.05702
GPU-shared,		1024,	2.01702
GPU-shared,		1024,	1.9776
CPU,		2048,	3.30584
CPU,		2048,	4.15255
CPU,		2048,	3.72873
CPU,		2048,	4.46667
CPU,		2048,	3.54118
GPU,		2048,	2.5017
GPU,		2048,	1.75824
GPU,		2048,	1.75888
GPU,		2048,	1.76832
GPU,		2048,	1.89059
GPU-shared,		2048,	2.10704
GPU-shared,		2048,	1.97219
GPU-shared,		2048,	2.1681
GPU-shared,		2048,	1.98368
GPU-shared,		2048,	2.07574
CPU,		4096,	7.72774
CPU,		4096,	7.30891
CPU,		4096,	7.30431
CPU,		4096,	7.49868
CPU,		4096,	7.37527
GPU,		4096,	1.93789
GPU,		4096,	1.92122
GPU,		4096,	1.85699
GPU,		4096,	1.79126
GPU,		4096,	1.81526
GPU-shared,		4096,	1.99702
GPU-shared,		4096,	1.96509
GPU-shared,		4096,	1.98438
GPU-shared,		4096,	1.97731
GPU-shared,		4096,	2.37981
CPU,		8192,	15.7604
CPU,		8192,	15.681
CPU,		8192,	16.1436
CPU,		8192,	15.4045
CPU,		8192,	15.7152
GPU,		8192,	2.14851
GPU,		8192,	2.09139
GPU,		8192,	1.98451
GPU,		8192,	2.10058
GPU,		8192,	2.73344
GPU-shared,		8192,	2.22221
GPU-shared,		8192,	2.15632
GPU-shared,		8192,	2.24704
GPU-shared,		8192,	2.40093
GPU-shared,		8192,	2.15846
CPU,		16384,	34.2999
CPU,		16384,	33.5382
CPU,		16384,	34.4596
CPU,		16384,	56.8747
CPU,		16384,	67.0091
GPU,		16384,	2.45197
GPU,		16384,	2.43574
GPU,		16384,	3.81725
GPU,		16384,	2.98525
GPU,		16384,	3.09382
GPU-shared,		16384,	3.38928
GPU-shared,		16384,	2.90221
GPU-shared,		16384,	2.43686
GPU-shared,		16384,	2.4319
GPU-shared,		16384,	2.4583
CPU,		32768,	72.2596
CPU,		32768,	80.4696
CPU,		32768,	78.2065
CPU,		32768,	72.0169
CPU,		32768,	77.1801
GPU,		32768,	3.39114
GPU,		32768,	3.26877
GPU,		32768,	3.3015
GPU,		32768,	3.39782
GPU,		32768,	3.30778
GPU-shared,		32768,	3.32512
GPU-shared,		32768,	3.88006
GPU-shared,		32768,	4.33392
GPU-shared,		32768,	3.2807
GPU-shared,		32768,	3.29773
CPU,		65536,	168.362
CPU,		65536,	157.761
CPU,		65536,	164.366
CPU,		65536,	354.088
CPU,		65536,	167.404
GPU,		65536,	5.84371
GPU,		65536,	6.43274
GPU,		65536,	5.3176
GPU,		65536,	5.64502
GPU,		65536,	5.54573
GPU-shared,		65536,	5.1375
GPU-shared,		65536,	4.98685
GPU-shared,		65536,	6.01731
GPU-shared,		65536,	5.48394
GPU-shared,		65536,	6.20998
CPU,		131072,	636.426
CPU,		131072,	354.4
CPU,		131072,	362.748
CPU,		131072,	372.867
CPU,		131072,	360.34
GPU,		131072,	9.44682
GPU,		131072,	9.70278
GPU,		131072,	9.39722
GPU,		131072,	9.75338
GPU,		131072,	9.3287
GPU-shared,		131072,	11.7027
GPU-shared,		131072,	9.4424
GPU-shared,		131072,	8.77578
GPU-shared,		131072,	8.62448
GPU-shared,		131072,	8.92086
CPU,		262144,	1155.33
CPU,		262144,	818.88
CPU,		262144,	896.908
CPU,		262144,	741.451
CPU,		262144,	757.492
GPU,		262144,	17.7643
GPU,		262144,	17.7676
GPU,		262144,	18.4064
GPU,		262144,	22.0938
GPU,		262144,	18.1022
GPU-shared,		262144,	15.7181
GPU-shared,		262144,	16.9386
GPU-shared,		262144,	17.5191
GPU-shared,		262144,	16.6428
GPU-shared,		262144,	22.3152
CPU,		524288,	1705.84
CPU,		524288,	1569.64
CPU,		524288,	1623.52
CPU,		524288,	1583.89
CPU,		524288,	1552.79
GPU,		524288,	40.5947
GPU,		524288,	40.6898
GPU,		524288,	43.8189
GPU,		524288,	42.5813
GPU,		524288,	42.2519
GPU-shared,		524288,	58.664
GPU-shared,		524288,	38.237
GPU-shared,		524288,	37.3241
GPU-shared,		524288,	36.2844
GPU-shared,		524288,	35.4934
CPU,		1048576,	3194.63
CPU,		1048576,	3152.21
CPU,		1048576,	3270.37
CPU,		1048576,	3710.92
CPU,		1048576,	3264.13
GPU,		1048576,	133.325
GPU,		1048576,	143.574
GPU,		1048576,	138.364
GPU,		1048576,	131.45
GPU,		1048576,	134.583
GPU-shared,		1048576,	141.297
GPU-shared,		1048576,	144.022
GPU-shared,		1048576,	134.614
GPU-shared,		1048576,	153.086
GPU-shared,		1048576,	157.61
